self [us] ; cumulative ; imported package
      469 ;     824071 ;               shepherd_core.data_models.testbed.mcu
   156529 ;    3346388 ;             shepherd_core.data_models.content.firmware
   290219 ;     290219 ;             shepherd_core.data_models.content.virtual_harvester
   580218 ;     580218 ;             shepherd_core.data_models.content.virtual_source
     4743 ;    5057424 ;           shepherd_core.data_models.content
      546 ;    5057969 ;         shepherd_core.data_models.content.energy_environment
   290413 ;     290413 ;               shepherd_core.data_models.experiment.observer_features
   366919 ;     366919 ;               shepherd_core.data_models.experiment.target_config
   346300 ;    1003630 ;             shepherd_core.data_models.experiment.experiment
     3725 ;    1007355 ;           shepherd_core.data_models.experiment
      707 ;    1008062 ;         shepherd_core.data_models.experiment.experiment
     5635 ;   10251767 ;       shepherd_core.data_models
      393 ;   10252159 ;     shepherd_core.data_models.base
      517 ;   10252676 ;   shepherd_core.data_models.base.calibration
   624532 ;     624532 ;     shepherd_core.data_models.task.emulation
   450015 ;     450015 ;     shepherd_core.data_models.task.firmware_mod
   143599 ;     143599 ;     shepherd_core.data_models.task.harvest
   399120 ;     399120 ;       shepherd_core.data_models.task.programming
   597121 ;     996241 ;     shepherd_core.data_models.task.observer_tasks
   570542 ;     570542 ;     shepherd_core.data_models.task.testbed_tasks
     7415 ;    2792340 ;   shepherd_core.data_models.task
    61119 ;      61119 ;     shepherd_core.inventory.python
    50301 ;      50301 ;     shepherd_core.inventory.system
    26979 ;      26979 ;     shepherd_core.inventory.target
   143741 ;     282138 ;   shepherd_core.inventory
    61937 ;      61937 ;         h5py._debian_h5py_serial._errors
    13761 ;      13761 ;             h5py._debian_h5py_serial.defs
     1089 ;       1089 ;               gc
     7835 ;       8923 ;             h5py._debian_h5py_serial._objects
     3206 ;       3206 ;             h5py._debian_h5py_serial.h5py_warnings
     5622 ;      31509 ;           h5py._debian_h5py_serial.h5
     6283 ;      37791 ;         h5py._debian_h5py_serial.version
     4744 ;       4744 ;           h5py._debian_h5py_serial.h5r
     3607 ;       3607 ;                 h5py._debian_h5py_serial.utils
     7784 ;      11390 ;               h5py._debian_h5py_serial.h5s
     4810 ;       4810 ;               h5py._debian_h5py_serial.h5ac
    19985 ;      36184 ;             h5py._debian_h5py_serial.h5p
    23636 ;      59820 ;           h5py._debian_h5py_serial.h5t
     8671 ;      73234 ;         h5py._debian_h5py_serial._conv
     7108 ;       7108 ;         h5py._debian_h5py_serial.h5z
     3971 ;       3971 ;           h5py._debian_h5py_serial._proxy
     7482 ;      11452 ;         h5py._debian_h5py_serial.h5a
     9416 ;       9416 ;         h5py._debian_h5py_serial.h5d
     5273 ;       5273 ;         h5py._debian_h5py_serial.h5ds
     7032 ;       7032 ;           h5py._debian_h5py_serial.h5g
     4555 ;       4555 ;           h5py._debian_h5py_serial.h5i
    15428 ;      27014 ;         h5py._debian_h5py_serial.h5f
     6842 ;       6842 ;         h5py._debian_h5py_serial.h5fd
     3722 ;       3722 ;         h5py._debian_h5py_serial.h5pl
     3024 ;       3024 ;         h5py._debian_h5py_serial._hl
     2789 ;       2789 ;           h5py._debian_h5py_serial._hl.compat
     6864 ;       9652 ;         h5py._debian_h5py_serial._hl.filters
     9112 ;       9112 ;         h5py._debian_h5py_serial._hl.base
     7947 ;       7947 ;             h5py._debian_h5py_serial.h5o
     5706 ;       5706 ;             h5py._debian_h5py_serial.h5l
     2861 ;       2861 ;                 backports_abc
     8184 ;      11044 ;               h5py._debian_h5py_serial._selector
     4686 ;       4686 ;               h5py._debian_h5py_serial._hl.selections
     4943 ;       4943 ;               h5py._debian_h5py_serial._hl.selections2
     3592 ;       3592 ;               h5py._debian_h5py_serial._hl.datatype
     6314 ;       6314 ;               h5py._debian_h5py_serial._hl.vds
    11528 ;      42104 ;             h5py._debian_h5py_serial._hl.dataset
     9509 ;      65265 ;           h5py._debian_h5py_serial._hl.group
     6847 ;      72112 ;         h5py._debian_h5py_serial._hl.files
     4908 ;       4908 ;         h5py._debian_h5py_serial._hl.attrs
    14246 ;     356835 ;       h5py._debian_h5py_serial
    10762 ;     367597 ;     h5py
     4998 ;       4998 ;       tqdm._monitor
     2933 ;       2933 ;       tqdm._tqdm_pandas
     7841 ;       7841 ;           tqdm.utils
    10893 ;      18734 ;         tqdm.std
     2816 ;       2816 ;           tqdm._dist_ver
     3132 ;       5948 ;         tqdm.version
    27197 ;      51877 ;       tqdm.cli
     3810 ;       3810 ;       tqdm.gui
     5447 ;      69064 ;     tqdm
    34148 ;     470807 ;   shepherd_core.reader
    93007 ;      93007 ;   shepherd_core.writer
     6965 ;   13897930 ; shepherd_core
