self [us] ; cumulative ; imported package
    40995 ;      40995 ;               pydantic._internal._std_types_schema
     1255 ;       1255 ;                     _csv
     6135 ;       7390 ;                   csv
     3587 ;       3587 ;                   email
     1467 ;       1467 ;                       zlib
     5243 ;       5243 ;                         _compression
     4762 ;       4762 ;                         _bz2
     5196 ;      15200 ;                       bz2
     5084 ;       5084 ;                         _lzma
     5039 ;      10122 ;                       lzma
    12361 ;      39148 ;                     shutil
    12574 ;      51722 ;                   zipfile
     3855 ;       3855 ;                       uu
     3619 ;       3619 ;                       quopri
     4350 ;       4350 ;                           _socket
     1500 ;       1500 ;                           array
    38502 ;      44351 ;                         socket
    15602 ;      15602 ;                             locale
     8406 ;      24007 ;                           calendar
     4231 ;      28237 ;                         email._parseaddr
     2853 ;       2853 ;                           email.base64mime
      891 ;        891 ;                               _string
    15274 ;      16164 ;                             string
     5401 ;      21565 ;                           email.quoprimime
     8118 ;       8118 ;                           email.errors
     3173 ;       3173 ;                           email.encoders
     5106 ;      40812 ;                         email.charset
    10261 ;     123660 ;                       email.utils
    14397 ;      14397 ;                         email.header
     5762 ;      20159 ;                       email._policybase
     5900 ;       5900 ;                       email._encoded_words
     3170 ;       3170 ;                       email.iterators
    11747 ;     172108 ;                     email.message
     4332 ;       4332 ;                       importlib.metadata._functools
     5303 ;       9635 ;                     importlib.metadata._text
     7265 ;     189008 ;                   importlib.metadata._adapters
     8256 ;       8256 ;                   importlib.metadata._meta
     8022 ;       8022 ;                   importlib.metadata._collections
     4247 ;       4247 ;                   importlib.metadata._itertools
     9021 ;       9021 ;                   importlib.abc
    30410 ;     311659 ;                 importlib.metadata
     3680 ;     315339 ;               pydantic.plugin._loader
   720870 ;    1077203 ;             shepherd_core.data_models.base.wrapper
    15160 ;    1320708 ;           shepherd_core.data_models.base.shepherd
   221437 ;    4727878 ;         shepherd_core.data_models.base.calibration
    99702 ;      99702 ;         shepherd_core.data_models.base.content
     2805 ;       2805 ;                   shepherd_core.commons
     6299 ;       6299 ;                         traceback
      927 ;        927 ;                         atexit
    39151 ;      46376 ;                       logging
     5237 ;       5237 ;                                 colorama.ansi
     2567 ;       2567 ;                                   msvcrt
     3288 ;       3288 ;                                   colorama.win32
     4368 ;      10222 ;                                 colorama.winterm
    11684 ;      27142 ;                               colorama.ansitowin32
     4148 ;      31290 ;                             colorama.initialise
     4217 ;      35506 ;                           colorama
    16024 ;      16024 ;                             six
     4629 ;      20653 ;                           chromalog.colorizer
     4017 ;       4017 ;                               chromalog.mark.objects
     3871 ;       7888 ;                             chromalog.mark
      505 ;       8393 ;                           chromalog.mark.objects
     2795 ;       2795 ;                           chromalog.stream
     5693 ;      73038 ;                         chromalog.log
     4427 ;      77465 ;                       chromalog
     4303 ;     128143 ;                     shepherd_core.logger
     6364 ;     134507 ;                   shepherd_core.testbed_client.fixtures
     5220 ;       5220 ;                       email_validator.exceptions_types
   315609 ;     315609 ;                           email_validator.rfc_constants
     1243 ;       1243 ;                           unicodedata
     3340 ;       3340 ;                             idna.package_data
     5448 ;       5448 ;                               idna.idnadata
     3971 ;       3971 ;                               idna.intranges
    16003 ;      25421 ;                             idna.core
     4609 ;      33369 ;                           idna
     3981 ;     354200 ;                         email_validator.syntax
     5335 ;     359535 ;                       email_validator.validate_email
     4742 ;     369496 ;                     email_validator
   105189 ;     474685 ;                   shepherd_core.testbed_client.user_model
    37708 ;     649703 ;                 shepherd_core.testbed_client.client
     3137 ;     652839 ;               shepherd_core.testbed_client
   129382 ;     782220 ;             shepherd_core.data_models.content.energy_environment
     3702 ;       3702 ;                     pwnlib.version
     4406 ;       4406 ;                             pwnlib.term.keyconsts
     9164 ;       9164 ;                                       _curses
     4918 ;      14082 ;                                     curses
     3385 ;      17466 ;                                   pwnlib.term.unix_termcap
     3149 ;      20615 ;                                 pwnlib.term.termcap
     6595 ;      27209 ;                               pwnlib.term.key
     4197 ;      31406 ;                             pwnlib.term.keymap
     4949 ;       4949 ;                               termios
     7193 ;       7193 ;                                 tempfile
     2756 ;       2756 ;                                 socks
     6482 ;      16430 ;                               pwnlib.context
     4595 ;      25972 ;                             pwnlib.term.term
     5272 ;      67054 ;                           pwnlib.term.readline
     6251 ;      73305 ;                         pwnlib.term.completer
     3391 ;      76696 ;                       pwnlib.term
     3705 ;      80400 ;                     pwnlib.args
     4543 ;      88644 ;                   pwnlib
      413 ;      89056 ;                 pwnlib.elf
     5093 ;       5093 ;                       unittest.util
     7826 ;      12919 ;                     unittest.result
     1111 ;       1111 ;                           _heapq
     6170 ;       7280 ;                         heapq
    11185 ;      18465 ;                       difflib
     5806 ;       5806 ;                       pprint
    10272 ;      34542 ;                     unittest.case
     5747 ;       5747 ;                     unittest.suite
    13499 ;      13499 ;                     unittest.loader
    23495 ;      23495 ;                         gettext
    12503 ;      35998 ;                       argparse
     3410 ;       3410 ;                         unittest.signals
     4463 ;       7872 ;                       unittest.runner
     4716 ;      48584 ;                     unittest.main
     5885 ;     121173 ;                   unittest
     3352 ;       3352 ;                         concurrent
     9220 ;       9220 ;                         concurrent.futures._base
     4198 ;      16770 ;                       concurrent.futures
    21706 ;      21706 ;                         _ssl
    71432 ;      93138 ;                       ssl
     5224 ;       5224 ;                       asyncio.constants
     3215 ;       3215 ;                           asyncio.format_helpers
     3291 ;       6505 ;                         asyncio.base_futures
     2623 ;       2623 ;                         asyncio.log
     5453 ;      14579 ;                       asyncio.coroutines
     4107 ;       4107 ;                           asyncio.exceptions
     3387 ;       3387 ;                           asyncio.base_tasks
     6012 ;      13505 ;                         _asyncio
     8808 ;      22313 ;                       asyncio.events
     5174 ;       5174 ;                       asyncio.futures
     3856 ;       3856 ;                       asyncio.protocols
     6507 ;       6507 ;                         asyncio.transports
     6154 ;      12661 ;                       asyncio.sslproto
     3328 ;       3328 ;                           asyncio.mixins
     6416 ;       6416 ;                           asyncio.tasks
     6464 ;      16207 ;                         asyncio.locks
     7407 ;      23614 ;                       asyncio.staggered
     5493 ;       5493 ;                       asyncio.trsock
    17594 ;     220410 ;                     asyncio.base_events
     3414 ;       3414 ;                     asyncio.runners
     5091 ;       5091 ;                     asyncio.queues
     6065 ;       6065 ;                     asyncio.streams
     4930 ;       4930 ;                     asyncio.subprocess
     2854 ;       2854 ;                     asyncio.threads
     5189 ;       5189 ;                       asyncio.base_subprocess
     7615 ;       7615 ;                       asyncio.selector_events
    13610 ;      26414 ;                     asyncio.unix_events
     7205 ;     276379 ;                   asyncio
    31650 ;     429201 ;                 unittest.mock
     5860 ;       5860 ;                     zstandard.backend_c
     5086 ;      10946 ;                   zstandard
     5582 ;       5582 ;                   shepherd_core.data_models.content.firmware_datatype
    22344 ;      22344 ;                   shepherd_core.fw_tools.converter_elf
     4555 ;       4555 ;                       intelhex.compat
     2836 ;       2836 ;                       intelhex.getsizeof
    11273 ;      18663 ;                     intelhex
     3883 ;       3883 ;                         elftools
     3970 ;       7852 ;                       elftools.common
     4545 ;      12396 ;                     elftools.common.exceptions
     1217 ;       1217 ;                                       six.moves
    39136 ;      39136 ;                                       configparser
     3832 ;      44184 ;                                     pwnlib.config
     3134 ;       3134 ;                                     pwnlib.device
     4484 ;       4484 ;                                     pwnlib.timeout
    27660 ;      79460 ;                                   pwnlib.context
     5269 ;      84729 ;                                 pwnlib.term.term
     6132 ;       6132 ;                                 pwnlib.term.text
     8551 ;      99411 ;                               pwnlib.term.readline
     4517 ;     103928 ;                             pwnlib.term.completer
     5097 ;     109024 ;                           pwnlib.term
     3138 ;       3138 ;                           pwnlib.commandline
     6941 ;     119102 ;                         pwnlib.args
     4403 ;     123504 ;                       pwnlib
     7627 ;       7627 ;                         glob
     8079 ;       8079 ;                         gzip
     4091 ;       4091 ;                         elftools.common.py3compat
     2925 ;       2925 ;                                     elftools.construct.lib.py3compat
    16382 ;      19306 ;                                   elftools.construct.lib.binary
     3497 ;       3497 ;                                   elftools.construct.lib.bitstream
     6291 ;       6291 ;                                   elftools.construct.lib.container
     5312 ;       5312 ;                                   elftools.construct.lib.hex
     4142 ;      38546 ;                                 elftools.construct.lib
      788 ;      39333 ;                               elftools.construct.lib.py3compat
    12172 ;      51504 ;                             elftools.construct.core
     9445 ;       9445 ;                             elftools.construct.adapters
     5352 ;       5352 ;                             elftools.construct.macros
     4885 ;       4885 ;                                 cmd
     7916 ;       7916 ;                                 bdb
     3888 ;       3888 ;                                   codeop
