Time [s],Pru00,Pru01
29.647437914,1,0
29.747381070,0,0
29.747427120,1,0
29.747427240,1,1
29.747437648,1,0
29.847379194,0,0
29.847426932,1,0
29.847427126,1,1
29.847437552,1,0
29.947380420,0,0
29.947426836,1,0
29.947427026,1,1
29.947437454,1,0
30.047382542,0,0
30.047426600,1,0
30.047426722,1,1
30.047437130,1,0
30.147380018,0,0
30.147426418,1,0
30.147426538,1,1
30.147436950,1,0
30.247381210,0,0
30.247426270,1,0
30.247426406,1,1
30.247436854,1,0
30.347379234,0,0
30.347426292,1,0
30.347426412,1,1
30.347436842,1,0
30.447379632,0,0
30.447426636,1,0
30.447427052,1,1
30.447447540,1,0
30.547381442,0,0
30.547426122,1,0
30.547426312,1,1
30.547436736,1,0
30.647376690,0,0
30.647425768,1,0
30.647425958,1,1
30.647436386,1,0
30.747379420,0,0
30.747425850,1,0
30.747426224,1,1
30.747436634,1,0
30.847379928,0,0
30.847425662,1,0
30.847425852,1,1
30.847436280,1,0
30.947378982,0,0
30.947425426,1,0
30.947425618,1,1
30.947436024,1,0
31.047380812,0,0
31.047425282,1,0
31.047425472,1,1
31.047435932,1,0
31.147377218,0,0
31.147425236,1,0
31.147425392,1,1
31.147435834,1,0
31.247377420,0,0
31.247425168,1,0
31.247425358,1,1
31.247435766,1,0
31.347377904,0,0
31.347424940,1,0
31.347425066,1,1
31.347435500,1,0
31.447378920,0,0
31.447424564,1,0
31.447424756,1,1
31.447485312,1,0
31.547379620,0,0
31.547424830,1,0
31.547425240,1,1
31.547445694,1,0
31.647377234,0,0
31.647424304,1,0
31.647424684,1,1
31.647435142,1,0
31.747376758,0,0
31.747424386,1,0
31.747424590,1,1
31.747435044,1,0
31.847377552,0,0
31.847424308,1,0
31.847424498,1,1
31.847434946,1,0
31.947379464,0,0
31.947424114,1,0
31.947424318,1,1
31.947434766,1,0
32.047376360,0,0
32.047424058,1,0
32.047424248,1,1
32.047434672,1,0
32.147380024,0,0
32.147423780,1,0
32.147423956,1,1
32.147434404,1,0
32.247375864,0,0
32.247423562,1,0
32.247423716,1,1
32.247434136,1,0
32.347376558,0,0
32.347423584,1,0
32.347423704,1,1
32.347434124,1,0
32.447378600,0,0
32.447423580,1,0
32.447423800,1,1
32.447434210,1,0
32.547378894,0,0
32.547423344,1,0
32.547423758,1,1
32.547444226,1,0
32.647377778,0,0
32.647423176,1,0
32.647423370,1,1
32.647433778,1,0
32.747378532,0,0
32.747422956,1,0
32.747423356,1,1
32.747433766,1,0
32.847376426,0,0
32.847422850,1,0
32.847423042,1,1
32.847433500,1,0
32.947373886,0,0
32.947422636,1,0
32.947422826,1,1
32.947433234,1,0
33.047375650,0,0
33.047422378,1,0
33.047422568,1,1
33.047432978,1,0
33.147375132,0,0
33.147422520,1,0
33.147422694,1,1
33.147433134,1,0
33.247374714,0,0
33.247422092,1,0
33.247422282,1,1
33.247432694,1,0
33.347375000,0,0
33.347422026,1,0
33.347422166,1,1
33.347432600,1,0
33.447378172,0,0
33.447421920,1,0
33.447422096,1,1
33.447432504,1,0
33.547374046,0,0
33.547421652,1,0
33.547422068,1,1
33.547432492,1,0
33.647375418,0,0
33.647421794,1,0
33.647421984,1,1
33.647432392,1,0
33.747372708,0,0
33.747421636,1,0
33.747421842,1,1
33.747432296,1,0
33.847377562,0,0
33.847421330,1,0
33.847421520,1,1
33.847431944,1,0
33.947374616,0,0
33.947421574,1,0
33.947421780,1,1
33.947432188,1,0
34.047373328,0,0
34.047421046,1,0
34.047421236,1,1
34.047431664,1,0
34.147374570,0,0
34.147420936,1,0
34.147421056,1,1
34.147431480,1,0
34.247372802,0,0
34.247420830,1,0
34.247421020,1,1
34.247431468,1,0
34.347372608,0,0
34.347420634,1,0
34.347420774,1,1
34.347431204,1,0
34.447372180,0,0
34.447420528,1,0
34.447420648,1,1
34.447431106,1,0
34.547375722,0,0
34.547420478,1,0
34.547420598,1,1
34.547431008,1,0
34.647377052,0,0
34.647420160,1,0
34.647420350,1,1
34.647430758,1,0
34.747372808,0,0
34.747420174,1,0
34.747420364,1,1
34.747430772,1,0
34.847371210,0,0
34.847420138,1,0
34.847420738,1,1
34.847431186,1,0
34.947371882,0,0
34.947419950,1,0
34.947420138,1,1
34.947430578,1,0
35.047371154,0,0
35.047419838,1,0
35.047420028,1,1
35.047430478,1,0
35.147376234,0,0
35.147419632,1,0
35.147419792,1,1
35.147430210,1,0
35.247372328,0,0
35.247419376,1,0
35.247419566,1,1
35.247429974,1,0
35.347370550,0,0
35.347419268,1,0
35.347419444,1,1
35.347429878,1,0
35.447371292,0,0
35.447419010,1,0
35.447419200,1,1
35.447429608,1,0
35.547374324,0,0
35.547419188,1,0
35.547419800,1,1
35.547430208,1,0
35.647374604,0,0
35.647418722,1,0
35.647418912,1,1
35.647429346,1,0
35.747371708,0,0
35.747418896,1,0
35.747419302,1,1
35.747429760,1,0
35.847372188,0,0
35.847418598,1,0
35.847418788,1,1
35.847429236,1,0
35.947369562,0,0
35.947418288,1,0
35.947418478,1,1
35.947428886,1,0
36.047370620,0,0
36.047418328,1,0
36.047418522,1,1
36.047428956,1,0
36.147372204,0,0
36.147418260,1,0
36.147418456,1,1
36.147428864,1,0
36.247370536,0,0
36.247417904,1,0
36.247418314,1,1
36.247428766,1,0
36.347370098,0,0
36.347417794,1,0
36.347417934,1,1
36.347428344,1,0
36.447368918,0,0
36.447417624,1,0
36.447417750,1,1
36.447428158,1,0
36.547370720,0,0
36.547417434,1,0
36.547417560,1,1
36.547427974,1,0
36.647372618,0,0
36.647417578,1,0
36.647417990,1,1
36.647428398,1,0
36.747370422,0,0
36.747417470,1,0
36.747417670,1,1
36.747428130,1,0
36.847372314,0,0
36.847417082,1,0
36.847417272,1,1
36.847427690,1,0
36.947369132,0,0
36.947416880,1,0
36.947417266,1,1
36.947427674,1,0
37.047372634,0,0
37.047416712,1,0
37.047416902,1,1
37.047427320,1,0
37.147369728,0,0
37.147416774,1,0
37.147416966,1,1
37.147427394,1,0
37.247369168,0,0
37.247416546,1,0
37.247416736,1,1
37.247427146,1,0
37.347372570,0,0
37.347416326,1,0
37.347416516,1,1
37.347426960,1,0
37.447369128,0,0
37.447416406,1,0
37.447416580,1,1
37.447427030,1,0
37.547373040,0,0
37.547416138,1,0
37.547416278,1,1
37.547426686,1,0
37.647368354,0,0
37.647416060,1,0
37.647416250,1,1
37.647426674,1,0
37.747366754,0,0
37.747415772,1,0
37.747415912,1,1
37.747426320,1,0
37.847370896,0,0
37.847415652,1,0
37.847415790,1,1
37.847426220,1,0
37.947368624,0,0
37.947415670,1,0
37.947415796,1,1
37.947426204,1,0
38.047368246,0,0
38.047415322,1,0
38.047415512,1,1
38.047425936,1,0
38.147369994,0,0
38.147415396,1,0
38.147415586,1,1
38.147426010,1,0
38.247368426,0,0
38.247415126,1,0
38.247415266,1,1
38.247425674,1,0
38.347366458,0,0
38.347415184,1,0
38.347415374,1,1
38.347425828,1,0
38.447370658,0,0
38.447415056,1,0
38.447415216,1,1
38.447425644,1,0
38.547370378,0,0
38.547414768,1,0
38.547414888,1,1
38.547425296,1,0
38.647371012,0,0
38.647414770,1,0
38.647414964,1,1
38.647425374,1,0
38.747370982,0,0
38.747414400,1,0
38.747414524,1,1
38.747424934,1,0
38.847370982,0,0
38.847414398,1,0
38.847414588,1,1
38.847425002,1,0
38.947366604,0,0
38.947414300,1,0
38.947414442,1,1
38.947424848,1,0
39.047365004,0,0
39.047414074,1,0
39.047414264,1,1
39.047424672,1,0
39.147366826,0,0
39.147413874,1,0
39.147414064,1,1
39.147424488,1,0
39.247366364,0,0
39.247413734,1,0
39.247413922,1,1
39.247424332,1,0
39.347366816,0,0
39.347413542,1,0
39.347413738,1,1
39.347484324,1,0
39.447368626,0,0
39.447413384,1,0
39.447413546,1,1
39.447423964,1,0
39.547367288,0,0
39.547413468,1,0
39.547413892,1,1
39.547424302,1,0
39.647365670,0,0
39.647413078,1,0
39.647413272,1,1
39.647423692,1,0
39.747366198,0,0
39.747413166,1,0
39.747413360,1,1
39.747423770,1,0
39.847365320,0,0
39.847413016,1,0
39.847413206,1,1
39.847423616,1,0
39.947365522,0,0
39.947412908,1,0
39.947413100,1,1
39.947423518,1,0
40.047364224,0,0
40.047412630,1,0
40.047412820,1,1
40.047423248,1,0
40.147364622,0,0
40.147412330,1,0
40.147412710,1,1
40.147423148,1,0
40.247365420,0,0
40.247412468,1,0
40.247412658,1,1
40.247423066,1,0
40.347363340,0,0
40.347412358,1,0
40.347412548,1,1
40.347422968,1,0
40.447365942,0,0
40.447412220,1,0
40.447412426,1,1
40.447422870,1,0
40.547366640,0,0
40.547412040,1,0
40.547412166,1,1
40.547422600,1,0
40.647364472,0,0
40.647412060,1,0
40.647412264,1,1
40.647422674,1,0
40.747365082,0,0
40.747411788,1,0
40.747411980,1,1
40.747422402,1,0
40.847365174,0,0
40.847411560,1,0
40.847411750,1,1
40.847422158,1,0
40.947367864,0,0
40.947411282,1,0
40.947411662,1,1
40.947422070,1,0
41.047366704,0,0
41.047411152,1,0
41.047411342,1,1
41.047421800,1,0
41.147363552,0,0
41.147411250,1,0
41.147411440,1,1
41.147421868,1,0
41.247367162,0,0
41.247410900,1,0
41.247411054,1,1
41.247421512,1,0
41.347364236,0,0
41.347410942,1,0
41.347411132,1,1
41.347421586,1,0
41.447361644,0,0
41.447410872,1,0
41.447411078,1,1
41.447471630,1,0
41.547364052,0,0
41.547410672,1,0
41.547411266,1,1
41.547421724,1,0
41.647362024,0,0
41.647410400,1,0
41.647410590,1,1
41.647421028,1,0
41.747364166,0,0
41.747410130,1,0
41.747410510,1,1
41.747420928,1,0
41.847362396,0,0
41.847410112,1,0
41.847410302,1,1
41.847420746,1,0
41.947365212,0,0
41.947410002,1,0
41.947410198,1,1
41.947420646,1,0
42.047366404,0,0
42.047409820,1,0
42.047409940,1,1
42.047420374,1,0
42.147362942,0,0
42.147409688,1,0
42.147409880,1,1
42.147420288,1,0
42.247362264,0,0
42.247409640,1,0
42.247409830,1,1
42.247420272,1,0
42.347361724,0,0
42.347409420,1,0
42.347409540,1,1
42.347419950,1,0
42.447365472,0,0
42.447409220,1,0
42.447409340,1,1
42.447419764,1,0
42.547361698,0,0
42.547409068,1,0
42.547409256,1,1
42.547419666,1,0
42.647360728,0,0
42.647409086,1,0
42.647409276,1,1
42.647419734,1,0
42.747361790,0,0
42.747408836,1,0
42.747409242,1,1
42.747419650,1,0
42.847365840,0,0
42.847408586,1,0
42.847408776,1,1
42.847419210,1,0
42.947361406,0,0
42.947408466,1,0
42.947408654,1,1
42.947419108,1,0
43.047364386,0,0
43.047408462,1,0
43.047408582,1,1
43.047419006,1,0
43.147361214,0,0
43.147408290,1,0
43.147408480,1,1
43.147418904,1,0
43.247361414,0,0
43.247408122,1,0
43.247408496,1,1
43.247418906,1,0
43.347360542,0,0
43.347407820,1,0
43.347408010,1,1
43.347418464,1,0
43.447359522,0,0
43.447407898,1,0
43.447408072,1,1
43.447418532,1,0
43.547360668,0,0
43.547407714,1,0
43.547407840,1,1
43.547418258,1,0
43.647363106,0,0
43.647407524,1,0
43.647407714,1,1
43.647418158,1,0
43.747359808,0,0
43.747407394,1,0
43.747407600,1,1
43.747418058,1,0
43.847363186,0,0
43.847407264,1,0
43.847407404,1,1
43.847417812,1,0
43.947360602,0,0
43.947406990,1,0
43.947407180,1,1
43.947417624,1,0
44.047358820,0,0
44.047406858,1,0
44.047406992,1,1
44.047417436,1,0
44.147357728,0,0
44.147406788,1,0
44.147406978,1,1
44.147417422,1,0
44.247359540,0,0
44.247406578,1,0
44.247406768,1,1
44.247417176,1,0
44.347357580,0,0
44.347406606,1,0
44.347406746,1,1
44.347417160,1,0
44.447359594,0,0
44.447406312,1,0
44.447406438,1,1
44.447416886,1,0
44.547362752,0,0
44.547406190,1,0
44.547406316,1,1
44.547416724,1,0
44.647358844,0,0
44.647406210,1,0
44.647406402,1,1
44.647416810,1,0
44.747358922,0,0
44.747405960,1,0
44.747406100,1,1
44.747416540,1,0
44.847360118,0,0
44.847405748,1,0
44.847405938,1,1
44.847416352,1,0
44.947359578,0,0
44.947405634,1,0
44.947405794,1,1
44.947416248,1,0
45.047358226,0,0
45.047405814,1,0
45.047406024,1,1
45.047416432,1,0
45.147358076,0,0
45.147405464,1,0
45.147405654,1,1
45.147416078,1,0
45.247358124,0,0
45.247405172,1,0
45.247405362,1,1
45.247415806,1,0
45.347357890,0,0
45.347404930,1,0
45.347405118,1,1
45.347415534,1,0
45.447358270,0,0
45.447404996,1,0
45.447405170,1,1
45.447415600,1,0
45.547357318,0,0
45.547404684,1,0
45.547404810,1,1
45.547415244,1,0
45.647361036,0,0
45.647404806,1,0
45.647404996,1,1
45.647415404,1,0
45.747356316,0,0
45.747404354,1,0
45.747404494,1,1
45.747475076,1,0
45.847359404,0,0
45.847404190,1,0
45.847404380,1,1
45.847414798,1,0
45.947356170,0,0
45.947404218,1,0
45.947404408,1,1
45.947414866,1,0
46.047357292,0,0
46.047403986,1,0
46.047404162,1,1
46.047414596,1,0
46.147359316,0,0
46.147404036,1,0
46.147404156,1,1
46.147414580,1,0
46.247357124,0,0
46.247403884,1,0
46.247404264,1,1
46.247414672,1,0
46.347356792,0,0
46.347403500,1,0
46.347403690,1,1
46.347414144,1,0
46.447355732,0,0
46.447403428,1,0
46.447403548,1,1
46.447413958,1,0
46.547360210,0,0
46.547403298,1,0
46.547403418,1,1
46.547413856,1,0
46.647358798,0,0
46.647403208,1,0
46.647403398,1,1
46.647413842,1,0
46.747359678,0,0
