Time [s],SheepS0,Sheep1,Sheep2
27.638881080,1,0,1
27.638881452,0,0,1
27.638881592,0,0,0
27.638894564,1,0,0
27.638894628,1,0,1
27.638894758,1,1,1
27.738878768,0,1,1
27.738878856,0,0,1
27.738880066,0,0,0
27.738892924,1,0,0
27.738892970,1,0,1
27.738893120,1,1,1
27.838877640,1,0,1
27.838878272,0,0,1
27.838878344,0,0,0
27.838891270,1,0,0
27.838891336,1,0,1
27.838891494,1,1,1
27.938876028,0,1,1
27.938876036,0,0,1
27.938876548,0,0,0
27.938889670,1,0,0
27.938889682,1,0,1
27.938889854,1,1,1
28.038874372,1,0,1
28.038874512,0,0,1
28.038874640,0,0,0
28.038888026,1,0,0
28.038888066,1,0,1
28.038888184,1,1,1
28.138872944,1,1,0
28.138873216,0,1,0
28.138873318,0,0,0
28.138886402,0,0,1
28.138886404,1,0,1
28.138886582,1,1,1
28.238871000,0,1,1
28.238872850,0,0,1
28.238872854,0,0,0
28.238884768,0,0,1
28.238884794,1,0,1
28.238884938,1,1,1
28.338869512,1,0,1
28.338869602,0,0,1
28.338870128,0,0,0
28.338883116,0,0,1
28.338883158,1,0,1
28.338883282,1,1,1
28.438868218,1,1,0
28.438868316,0,1,0
28.438868436,0,0,0
28.438881502,0,0,1
28.438881538,1,0,1
28.438881662,1,1,1
28.538865616,1,0,1
28.538865982,0,0,1
28.538866348,0,0,0
28.538879890,0,0,1
28.538879896,1,0,1
28.538879998,1,1,1
28.638864116,0,1,1
28.638864150,0,0,1
28.638864718,0,0,0
28.638878272,0,0,1
28.638878274,1,0,1
28.638878376,1,1,1
28.738862554,0,1,1
28.738862670,0,0,1
28.738863680,0,0,0
28.738876628,0,0,1
28.738876632,1,0,1
28.738876770,1,1,1
28.838861514,1,0,1
28.838861592,0,0,1
28.838862034,0,0,0
28.838875012,0,0,1
28.838875030,1,0,1
28.838875106,1,1,1
28.938859802,0,1,1
28.938859914,0,0,1
28.938860402,0,0,0
28.938873350,0,0,1
28.938873404,1,0,1
28.938873456,1,1,1
29.038857540,1,0,1
29.038857608,0,0,1
29.038857946,0,0,0
29.038871734,0,0,1
29.038871768,1,0,1
29.038871854,1,1,1
29.138856564,0,1,1
29.138857112,0,0,1
29.138857210,0,0,0
29.138870072,0,0,1
29.138870154,1,0,1
29.138870204,1,1,1
29.238855242,1,0,1
29.238855286,0,0,1
29.238856286,0,0,0
29.238868474,0,0,1
29.238868518,1,0,1
29.238868542,1,1,1
29.338853336,1,1,0
29.338853424,1,0,0
29.338853896,0,0,0
29.338866820,0,0,1
29.338866870,1,0,1
29.338866922,1,1,1
29.438851468,1,0,1
29.438851660,1,0,0
29.438851744,0,0,0
29.438865178,0,0,1
29.438865258,1,0,1
29.438865270,1,1,1
29.538850178,1,0,1
29.538850380,0,0,1
29.538850784,0,0,0
29.538863560,0,0,1
29.538863624,1,0,1
29.538863634,1,1,1
29.638848440,1,0,1
29.638848726,0,0,1
29.638849120,0,0,0
29.638861940,0,0,1
29.638861988,0,1,1
29.638862012,1,1,1
29.738846116,1,0,1
29.738846152,0,0,1
29.738847150,0,0,0
29.738860316,0,0,1
29.738860352,0,1,1
29.738860354,1,1,1
29.838845540,0,1,1
29.838845602,0,0,1
29.838845738,0,0,0
29.838858642,0,0,1
29.838858700,0,1,1
29.838858718,1,1,1
29.938843378,0,1,1
29.938843646,0,0,1
29.938844102,0,0,0
29.938857008,0,0,1
29.938857086,0,1,1
29.938857100,1,1,1
30.038841876,0,1,1
30.038842006,0,1,0
30.038842890,0,0,0
30.038855394,0,0,1
30.038855460,0,1,1
30.038855472,1,1,1
30.138840094,0,1,1
30.138840426,0,0,1
30.138840670,0,0,0
30.138853748,0,0,1
30.138853824,0,1,1
30.138853862,1,1,1
30.238839040,0,1,1
30.238839082,0,0,1
30.238840080,0,0,0
30.238852088,0,0,1
30.238852180,0,1,1
30.238852230,1,1,1
30.338836634,1,0,1
30.338836672,0,0,1
30.338837520,0,0,0
30.338850456,0,0,1
30.338850560,0,1,1
30.338850604,1,1,1
30.438834940,1,1,0
30.438835006,0,1,0
30.438836484,0,0,0
30.438848876,0,0,1
30.438848938,0,1,1
30.438848990,1,1,1
30.538834138,0,1,1
30.538835354,0,1,0
30.538839176,0,0,0
30.538847212,0,0,1
30.538847318,0,1,1
30.538847346,1,1,1
30.638832694,0,1,1
30.638832726,0,1,0
30.638833194,0,0,0
30.638845598,0,0,1
30.638845650,0,1,1
30.638845718,1,1,1
30.738829628,1,0,1
30.738829902,0,0,1
30.738831034,0,0,0
30.738843942,0,0,1
30.738844008,0,1,1
30.738844102,1,1,1
30.838829288,1,1,0
30.838829438,1,0,0
30.838829478,0,0,0
30.838842326,0,0,1
30.838842414,0,1,1
30.838842480,1,1,1
30.938827210,1,0,1
30.938827302,0,0,1
30.938827702,0,0,0
30.938840696,0,0,1
30.938840736,0,1,1
30.938840814,1,1,1
31.038825600,0,1,1
31.038826036,0,0,1
31.038826104,0,0,0
31.038839060,0,0,1
31.038839134,0,1,1
31.038839200,1,1,1
31.138823840,0,1,1
31.138824060,0,0,1
31.138824420,0,0,0
31.138837454,0,0,1
31.138837486,0,1,1
31.138837562,1,1,1
31.238822740,0,1,1
31.238822784,0,1,0
31.238824034,0,0,0
31.238835808,0,0,1
31.238835876,0,1,1
31.238835948,1,1,1
31.338820712,0,1,1
31.338820922,0,0,1
31.338821346,0,0,0
31.338834208,0,0,1
31.338834258,0,1,1
31.338834310,1,1,1
31.438819028,1,0,1
31.438819106,0,0,1
31.438819626,0,0,0
31.438832530,0,0,1
31.438832602,0,1,1
31.438832704,1,1,1
31.538817594,1,0,1
31.538817848,0,0,1
31.538818050,0,0,0
31.538830912,0,0,1
31.538831000,0,1,1
31.538831046,1,1,1
31.638815640,1,0,1
31.638816374,1,0,0
31.638816482,0,0,0
31.638829280,0,0,1
31.638829380,0,1,1
31.638829420,1,1,1
31.738813430,1,0,1
31.738813644,0,0,1
31.738813830,0,0,0
31.738827624,0,0,1
31.738827704,0,1,1
31.738827804,1,1,1
31.838812618,1,0,1
31.838812986,0,0,1
31.838813254,0,0,0
31.838826030,0,0,1
31.838826098,0,1,1
31.838826168,1,1,1
31.938811132,1,1,0
31.938811276,0,1,0
31.938812928,0,0,0
