Time [s],SheepS0,Sheep1,Sheep2
14.330425528,1,0,0
14.330425590,1,1,0
14.330425718,1,1,1
14.430410370,0,1,1
14.430410520,0,0,1
14.430412116,0,0,0
14.430423904,1,0,0
14.430423988,1,1,0
14.430424094,1,1,1
14.530408948,1,0,1
14.530409440,0,0,1
14.530409612,0,0,0
14.530422292,1,0,0
14.530422358,1,1,0
14.530422470,1,1,1
14.630407126,0,1,1
14.630407278,0,0,1
14.630407784,0,0,0
14.630420684,1,0,0
14.630420766,1,1,0
14.630420846,1,1,1
14.730405420,0,1,1
14.730405448,0,0,1
14.730405942,0,0,0
14.730419062,1,0,0
14.730419166,1,1,0
14.730419244,1,1,1
14.830403886,1,0,1
14.830403906,0,0,1
14.830404780,0,0,0
14.830417464,1,0,0
14.830417558,1,1,1
14.930402054,0,1,1
14.930402480,0,1,0
14.930402514,0,0,0
14.930415816,1,0,0
14.930415914,1,1,0
14.930415952,1,1,1
15.030400968,1,0,1
15.030401154,0,0,1
15.030401814,0,0,0
15.030414234,1,0,0
15.030414276,1,0,1
15.030414298,1,1,1
15.130399090,0,1,1
15.130399140,0,0,1
15.130399690,0,0,0
15.130412602,1,0,0
15.130412656,1,0,1
15.130412690,1,1,1
15.230397356,1,0,1
15.230397376,0,0,1
15.230398136,0,0,0
15.230410976,1,0,0
15.230410992,1,0,1
15.230411040,1,1,1
15.330395342,0,1,1
15.330395410,0,1,0
15.330395868,0,0,0
15.330409336,0,0,1
15.330409370,1,0,1
15.330409444,1,1,1
15.430394184,1,0,1
15.430394250,0,0,1
15.430395680,0,0,0
15.430407712,0,0,1
15.430407752,1,0,1
15.430407822,1,1,1
15.530392534,0,1,1
15.530393040,0,0,1
15.530393146,0,0,0
15.530406050,0,0,1
15.530406134,1,0,1
15.530406224,1,1,1
15.630391020,0,1,1
15.630391300,0,0,1
15.630391304,0,0,0
15.630404424,0,0,1
15.630404534,1,0,1
15.630404602,1,1,1
15.730389284,0,1,1
15.730389344,0,0,1
15.730389648,0,0,0
15.730402792,0,0,1
15.730402882,1,0,1
15.730402940,1,1,1
15.830387654,0,1,1
15.830388078,0,1,0
15.830388184,0,0,0
15.830401154,0,0,1
15.830401294,1,0,1
15.830401374,1,1,1
15.930385894,0,1,1
15.930386344,0,1,0
15.930386366,0,0,0
15.930399556,0,0,1
15.930399658,1,0,1
15.930399722,1,1,1
16.030384402,1,1,0
16.030384864,1,0,0
16.030385074,0,0,0
16.030397956,0,0,1
16.030398044,1,0,1
16.030398138,1,1,1
16.130382936,0,1,1
16.130383450,0,0,1
16.130383472,0,0,0
16.130396324,0,0,1
16.130396448,1,0,1
16.130396474,1,1,1
16.230380668,0,1,1
16.230381320,0,0,1
16.230382552,0,0,0
16.230394712,0,0,1
16.230394828,1,0,1
16.230394896,1,1,1
16.330379638,0,1,1
16.330379978,0,1,0
16.330380328,0,0,0
16.330393102,0,0,1
16.330393188,1,0,1
16.330393262,1,1,1
16.430378532,0,1,1
16.430378536,0,0,1
16.430378588,0,0,0
16.430391480,0,0,1
16.430391608,1,0,1
16.430391658,1,1,1
16.530376468,0,1,1
16.530376522,0,0,1
16.530376992,0,0,0
16.530389854,0,0,1
16.530389980,1,0,1
16.530390026,1,1,1
16.630374838,0,1,1
16.630374910,0,0,1
16.630375284,0,0,0
16.630388232,0,0,1
16.630388348,1,0,1
16.630388408,1,1,1
16.730373116,0,1,1
16.730373200,0,1,0
16.730373544,0,0,0
16.730386664,0,0,1
16.730386758,1,0,1
16.730386804,1,1,1
16.830371520,0,1,1
16.830372102,0,1,0
16.830372106,0,0,0
16.830385006,0,0,1
16.830385116,1,0,1
16.830385192,1,1,1
16.930369874,1,0,1
16.930369960,0,0,1
16.930370180,0,0,0
16.930383434,0,0,1
16.930383514,1,0,1
16.930383574,1,1,1
17.030368600,1,0,1
17.030368650,1,0,0
17.030368842,0,0,0
17.030381814,0,0,1
17.030381874,1,0,1
17.030381954,1,1,1
17.130366760,0,1,1
17.130367064,0,0,1
17.130367196,0,0,0
17.130380190,0,0,1
17.130380270,1,0,1
17.130380340,1,1,1
17.230364514,0,1,1
17.230365502,0,0,1
17.230366646,0,0,0
17.230378590,0,0,1
17.230378676,1,0,1
17.230378734,1,1,1
17.330363482,0,1,1
17.330363676,0,1,0
17.330363730,0,0,0
17.330377000,0,0,1
17.330377030,1,0,1
17.330377112,1,1,1
17.430362054,0,1,1
17.430362216,0,0,1
17.430363290,0,0,0
17.430375364,0,0,1
17.430375412,1,0,1
17.430375500,1,1,1
17.530360284,0,1,1
17.530360308,0,0,1
17.530361012,0,0,0
17.530373764,0,0,1
17.530373792,1,0,1
17.530373894,1,1,1
17.630358680,0,1,1
17.630358896,0,0,1
17.630359246,0,0,0
17.630372150,0,0,1
17.630372192,1,0,1
17.630372246,1,1,1
17.730356808,1,1,0
17.730356940,0,1,0
17.730357520,0,0,0
17.730370564,0,0,1
17.730370582,1,0,1
17.730370662,1,1,1
17.830355376,0,1,1
17.830355910,0,1,0
17.830356408,0,0,0
17.830368946,0,0,1
17.830368976,1,0,1
17.830369042,1,1,1
17.930353666,0,1,1
17.930354012,0,0,1
17.930354076,0,0,0
17.930367348,0,0,1
17.930367354,1,0,1
17.930367432,1,1,1
18.030352278,1,0,1
18.030352570,1,0,0
18.030352818,0,0,0
18.030365692,0,0,1
18.030365738,1,0,1
18.030365834,1,1,1
18.130350618,0,1,1
18.130351044,0,0,1
18.130351268,0,0,0
18.130364084,0,0,1
18.130364086,1,0,1
18.130364196,1,1,1
18.230348908,0,1,1
18.230349282,0,0,1
18.230349314,0,0,0
18.230362506,1,0,1
18.230362566,1,1,1
18.330347312,0,1,1
18.330347502,0,1,0
18.330347524,0,0,0
18.330360866,0,0,1
18.330360868,1,0,1
