RefDes;IC-Art#;Value;PartDecal;PartDecal_Descr;Orient.;X;Y;Seite;Class;PinCnt;DISTRIB_NAME;DISTRIB#;DISTRIB_NPPU;;
R96;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;70.7;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R95;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;67.2;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R94;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;68.3;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R93;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;54.7;47.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R92;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;57;47.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R91;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.3;16.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R90;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;65.9;16.7;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R89;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;52.5;47.3;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R88;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;57.4;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R87;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;56.3;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R86;;R_0402_470R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;40.6;16.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ471X;0.02;
R85;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;50.9;42.8;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R84;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;52.5;42;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R83;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;180;39.1;16.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R82;;R_0402_240k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;39.1;15.7;Oben;SMD;2;Mouser;667-ERJ-2RKF2403X;0.02;
R81;;R_0402_240k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;40.9;13.7;Oben;SMD;2;Mouser;667-ERJ-2RKF2403X;0.02;
R80;;R_0603_100R_0.1%;RESC1608X06N;0603 Resistor. 2-Leads. Body 1.60x0.85mm;180;30;27;Oben;SMD;2;Mouser;667-ERA-3AEB101V;0.25;
R79;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;69.7;36.5;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R78;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;76.3;37.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R77;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.4;12.1;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R76;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;66;12.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R75;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.4;8.1;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R74;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;66;8.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R73;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.4;9.1;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R72;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;66;9.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R71;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.4;10.1;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R70;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;66;10.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R69;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.4;11.1;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R68;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;66;11.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R67;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.3;17.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R66;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;65.9;17.7;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R65;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.3;18.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R64;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;65.9;18.7;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R63;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.3;19.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R62;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;65.9;19.7;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R61;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;68.3;20.7;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R60;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;65.9;20.7;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R59;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;55.9;47.3;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R58;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;41.8;7.5;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R57;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;38.2;7.5;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R56;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;51.3;7.4;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R55;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;47.7;7.4;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R54;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;38.7;47.2;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R53;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;35.4;47.2;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R52;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;42.3;47.2;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R51;;R_0402_10k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;18.6;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ103X;0.02;
R50;;R_0402_10k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;21.3;19.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ103X;0.02;
R49;;R_0402_470R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;18.2;15.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ471X;0.02;
R48;;R_0402_10k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;18.2;13.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ103X;0.02;
R47;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;34.1;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R46;;R_0603_100R_0.1%;RESC1608X06N;0603 Resistor. 2-Leads. Body 1.60x0.85mm;270;60.2;36.1;Oben;SMD;2;Mouser;667-ERA-3AEB101V;0.25;
R45;;R_0402_10k;RESC1005X04-SEL;Resistor Switch. 3-Leads. Body 1.02x0.53mm;180;53.9;23.1;Oben;SMD;2;Mouser;667-ERJ-2GEJ103X;0.02;
R44;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;22;21.2;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
R43;;R_0402_750k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;50.3;12.8;Oben;SMD;2;Mouser;667-ERJ-2RKF7503X;0.02;
R42;;R_0402_24k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;22;23.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ243X;0.02;
R41;;R_0402_100k_1%;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;50.3;10.8;Oben;SMD;2;Mouser;667-ERJ-2RKF1003X;0.02;
