V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;5e-05;1,99906;5,00505e-05;1,80754;-5,00054e-05;0,9033802106808183
2,0;6e-05;1,99921;5,93471e-05;1,80741;-6,00043e-05;0,914073539211299
2,0;6e-05;1,99922;5,94903e-05;1,80772;-6,00045e-05;0,9120281379105126
2,0;6e-05;1,99921;6,0197e-05;1,80759;-6,0005e-05;0,9012683217838221
2,0;6e-05;1,99917;5,93348e-05;1,80757;-6,00044e-05;0,9143637779959867
2,0;6e-05;1,99921;6,10379e-05;1,8076;-6,00038e-05;0,8888389725302961
2,0;6e-05;1,99919;5,95059e-05;1,80748;-6,00045e-05;0,9116816695066251
2,0;6e-05;1,99921;6,00552e-05;1,80752;-6,00046e-05;0,9033553549846357
2,0;6e-05;1,99919;5,92792e-05;1,80764;-6,00045e-05;0,9152492031341142
2,0;6e-05;1,9992;5,92512e-05;1,80781;-6,00058e-05;0,9157830921206515
2,0;6e-05;1,99919;5,96861e-05;1,80779;-6,00056e-05;0,9091017407847274
2,0;7e-05;1,9994;7,01442e-05;1,80763;-7,00041e-05;0,9022804816972647
2,0;7e-05;1,99935;6,99269e-05;1,80753;-7,0004e-05;0,905055616270868
2,0;7e-05;1,99934;7,00771e-05;1,80766;-7,00033e-05;0,9031762014804594
2,0;7e-05;1,99933;7,00197e-05;1,80767;-7,00037e-05;0,9039312842472919
2,0;7e-05;1,99932;6,97817e-05;1,80778;-7,00045e-05;0,9070843614756826
2,0;7e-05;1,99929;6,90139e-05;1,80779;-7,00044e-05;0,9171934685317431
2,0;7e-05;1,99932;6,85395e-05;1,8076;-7,00043e-05;0,9234296342669858
2,0;7e-05;1,99937;6,90561e-05;1,80759;-7,00043e-05;0,916493582787592
2,0;7e-05;1,99936;6,99716e-05;1,80763;-7,00041e-05;0,9045242464700618
2,0;7e-05;1,99933;7,02597e-05;1,80772;-7,00037e-05;0,9008684640353938
2,0;8e-05;1,99944;7,94211e-05;1,80762;-8,00022e-05;0,9106778923130866
2,0;8e-05;1,99946;7,93468e-05;1,80752;-8,00016e-05;0,9114642669229454
2,0;8e-05;1,99947;7,92344e-05;1,80794;-8,00015e-05;0,9129636314312086
2,0;8e-05;1,99944;7,95719e-05;1,8078;-8,00012e-05;0,9090311782757997
2,0;8e-05;1,99946;7,96697e-05;1,80799;-8,00018e-05;0,9080084297541339
2,0;8e-05;1,99947;7,91882e-05;1,80768;-8,00014e-05;0,913363761248931
2,0;8e-05;1,99948;7,86296e-05;1,8077;-8,00012e-05;0,919855752431229
2,0;8e-05;1,99945;7,96644e-05;1,80764;-8,00016e-05;0,9078953211146426
2,0;8e-05;1,99947;8,05573e-05;1,8076;-8,00017e-05;0,8978044510697868
2,0;8e-05;1,99946;7,92231e-05;1,80767;-8,00019e-05;0,912966620327681
2,0;9e-06;1,99808;9,98556e-06;1,8078;-8,99971e-06;0,8154429814276737
2,0;9e-06;1,99868;9,57735e-06;1,80713;-8,99974e-06;0,8496317497764575
2,0;9e-06;1,99866;9,60149e-06;1,80727;-8,99973e-06;0,8475688072628574
2,0;9e-06;1,99826;9,56836e-06;1,80723;-8,99973e-06;0,8506548957012188
2,0;9e-06;1,99828;1,00473e-05;1,80707;-8,99975e-06;0,8100274006140837
2,0;9e-06;1,99819;9,62189e-06;1,80724;-8,99976e-06;0,8459595346107429
2,0;9e-06;1,99836;9,26201e-06;1,80716;-8,99978e-06;0,8787180042185928
2,0;9e-06;1,99831;9,95752e-06;1,80792;-8,99977e-06;0,8177048444923981
2,0;9e-06;1,99839;8,8974e-06;1,80785;-8,99976e-06;0,9150608150681401
2,0;9e-06;1,99873;8,64385e-06;1,80757;-8,99976e-06;0,9415962062036061
2,0;0,0001;1,99969;9,87276e-05;1,80745;-9,99973e-05;0,9154893816244734
2,0;0,0001;1,99968;9,99613e-05;1,80774;-9,99972e-05;0,9043393092454672
2,0;0,0001;1,99966;9,95349e-05;1,80782;-9,99977e-05;0,9082672483345559
2,0;0,0001;1,99965;9,97543e-05;1,80752;-9,99979e-05;0,9061255538864942
2,0;0,0001;1,9997;9,86159e-05;1,80778;-9,99975e-05;0,9166909222554174
2,0;0,0001;1,99969;9,96968e-05;1,80748;-9,99975e-05;0,9066063348203595
2,0;0,0001;1,99969;9,88282e-05;1,80766;-9,99973e-05;0,9146637378549516
2,0;0,0001;1,99971;9,92789e-05;1,80769;-9,99972e-05;0,9105164996801476
2,0;0,0001;1,99968;9,9237e-05;1,80714;-9,99967e-05;0,9106329007864816
2,0;0,0001;1,99966;9,93773e-05;1,80739;-9,99967e-05;0,9094821727553831
2,0;0,0002;1,99988;0,000197713;1,80922;-0,000200028;0,915256895455505
2,0;0,0002;1,99989;0,000198442;1,80872;-0,000200029;0,9116425776282312
2,0;0,0002;1,99987;0,000198138;1,80836;-0,00020003;0,9128732614003744
2,0;0,0002;1,99988;0,000197443;1,80863;-0,00020003;0,9162187745780328
2,0;0,0002;1,99987;0,000197563;1,80836;-0,000200028;0,9155209922394189
2,0;0,0002;1,99986;0,000197863;1,809;-0,000200027;0,9144564021373209
2,0;0,0002;1,99986;0,000198233;1,80853;-0,000200028;0,9125169966086636
2,0;0,0002;1,99985;0,0001982;1,80865;-0,000200027;0,9127294878851536
2,0;0,0002;1,99985;0,000198288;1,80869;-0,000200028;0,9123491575472614
2,0;0,0002;1,99986;0,000197963;1,80831;-0,000200029;0,9136549829346751
2,0;0,0003;1,99983;0,000296361;1,80883;-0,000300042;0,915726270332541
2,0;0,0003;1,99983;0,000296331;1,8087;-0,00030004;0,9157470529927568
