origin;component;range;v_error_mean_mV;v_error_max_mV;v_error_std_mV;c_error_mean_mA;c_error_max_mA;c_error_std_mA
sheep0_cape_v230c1_profile_26_short_R22_33R_10nF;HRV;limited;0,201122449;0,64;0,167264205;0,00541623;0,054324935;0,004883576
sheep0_cape_v230c1_profile_27_short_C35_add_back_100nF;HRV;full;276,0415694;5255,69;948,9359859;0,005368889;0,060881509;0,005555193
sheep0_cape_v230c1_profile_27_short_C35_add_back_100nF;HRV;limited;0,192959184;0,62;0,162664112;0,005243141;0,053897935;0,004691414
sheep0_cape_v230c1_profile_28_short_ADC_V_R16_from_1k_to_33R;HRV;full;283,945189;5257,604;974,5763956;0,005252042;0,06007417;0,005441571
sheep0_cape_v230c1_profile_28_short_ADC_V_R16_from_1k_to_33R;HRV;limited;0,207959184;0,65;0,174390839;0,005212725;0,050596496;0,004643004
sheep0_cape_v230c1_profile_29_short_R20_OpAmpFB_from_1k_to_100R;HRV;full;280,934096;5173,195;960,2387082;0,0053469;0,057594255;0,005564373
sheep0_cape_v230c1_profile_29_short_R20_OpAmpFB_from_1k_to_100R;HRV;limited;0,19877551;0,61;0,156780534;0,005222872;0,052981329;0,004671077
sheep0_cape_v230c1_profile_30_short_R20_OpAmpFB_to_10k;HRV;full;276,1408676;5251,961;956,5167009;0,004717138;0,054563026;0,005060364
sheep0_cape_v230c1_profile_30_short_R20_OpAmpFB_to_10k;HRV;limited;0,214081633;0,65;0,172282624;0,004549735;0,045688418;0,00418371
sheep0_cape_v230c1_profile_31_short_R18_from_1k_to_0R;HRV;full;273,2588094;5233,059;940,9283818;0,005024057;0,059619066;0,005474454
sheep0_cape_v230c1_profile_31_short_R18_from_1k_to_0R;HRV;limited;0,195;0,57;0,15373746;0,004732768;0,050598725;0,004407782
sheep0_cape_v230c1_profile_32_short_R16_back_to_1k;HRV;full;25,88463737;1649,66;169,2603441;0,005117161;0,061541271;0,005315776
sheep0_cape_v230c1_profile_32_short_R16_back_to_1k;HRV;limited;0,218061224;0,68;0,161981729;0,004695296;0,048744887;0,004376014
sheep0_cape_v230c1_profile_33_short_R20_back_to_1k;HRV;full;281,4992514;5178,189;963,6601607;0,005402552;0,057823693;0,005623764
sheep0_cape_v230c1_profile_33_short_R20_back_to_1k;HRV;limited;0,216632653;0,63;0,157376094;0,005268209;0,051744101;0,004664682
sheep0_cape_v230c1_profile_34_short_C36_from_1nF_to_10nF;HRV;full;225,0519893;5192,168;797,5057267;0,00528852;0,059568212;0,005412058
sheep0_cape_v230c1_profile_34_short_C36_from_1nF_to_10nF;HRV;limited;0,215918367;0,62;0,155745986;0,005187667;0,046915216;0,004600189
sheep0_cape_v230c1_profile_35_short_R27_from_1k_to_100R;HRV;full;256,7851549;4953,7814;917,136091;0,005739111;0,065168957;0,006012859
sheep0_cape_v230c1_profile_35_short_R27_from_1k_to_100R;HRV;limited;0,200918367;0,63;0,157674995;0,005392272;0,055191755;0,00484433
sheep0_cape_v230c1_profile_36_short_new_smu_lib;EMU_A;full;25,59578118;738,94;94,94211984;0,046599969;2,560878078;0,200049882
sheep0_cape_v230c1_profile_36_short_new_smu_lib;EMU_A;limited;1,822142857;2,77;0,402056596;0,01299677;0,110857496;0,010507843
sheep0_cape_v230c1_profile_36_short_new_smu_lib;EMU_B;full;0,0;0,0;0,0;0,078431071;2,668930155;0,311692806
sheep0_cape_v230c1_profile_36_short_new_smu_lib;EMU_B;limited;0,0;0,0;0,0;0,011851285;0,075041278;0,008953638
sheep0_cape_v230c1_profile_36_short_new_smu_lib;HRV;full;1,181008375;13,84;3,271574994;0,003673092;0,055776854;0,004988771
sheep0_cape_v230c1_profile_36_short_new_smu_lib;HRV;limited;0,234591837;0,81;0,202812724;0,00340931;0,050048905;0,004362753
sheep0_cape_v230c1_profile_37_short_A5V_1mF_pmore;HRV;full;1,170800284;13,75;3,288338184;0,008991429;0,13720276;0,010445012
sheep0_cape_v230c1_profile_37_short_A5V_1mF_pmore;HRV;limited;0,200204082;0,62;0,141219041;0,005496288;0,063351141;0,005339947
sheep0_cape_v230c1_profile_38_short_hrv_cADC_refbuff;HRV;full;1,200172625;14,25;3,431547999;0,00856755;0,138903418;0,010353396
sheep0_cape_v230c1_profile_38_short_hrv_cADC_refbuff;HRV;limited;0,196326531;0,64;0,171763894;0,005167678;0,063464471;0,005081119
sheep0_cape_v230c1_profile_39_short_all_base;EMU_A;full;24,25221253;737,42;95,41233145;0,03064284;1,957308438;0,142674868
