V_inp_nom;V_inp;I_inp;V_out;I_out;eta
4,0;3,99987;0,000257885;1,803515;-0,000500045;0,874000425252335
4,0;3,999855;0,0003090975;1,80292;-0,000600039;0,875100315401333
4,0;3,999855;0,000360314;1,8035;-0,000700027;0,8760533067730863
4,0;3,99985;0,0004115145;1,803175;-0,000799995;0,8764291129751356
4,0;3,99986;0,000462554;1,803375;-0,000899969;0,8770941184688752
4,0;3,99986;0,0005135675;1,803015;-0,0009999405000000001;0,8777418403047328
4,0;3,99984;0,00101788;1,805495;-0,002000635;0,8871879867775949
4,0;3,99989;0,001535895;1,8076949999999998;-0,00300067;0,8829049147186974
4,0;3,99988;0,002050915;1,808215;-0,004000915;0,8819474054820413
4,0;3,99987;0,0025632199999999997;1,8079100000000001;-0,00500089;0,881983348723752
4,0;3,9999;0,0030736799999999996;1,806965;-0,00600081;0,8819249592091714
4,0;3,999885;0,0035826850000000004;1,809075;-0,00700066;0,8837116076967295
4,0;3,99988;0,004100685;1,80833;-0,00800065;0,8821010470219963
4,0;3,99989;0,00461276;1,8082449999999999;-0,00900032;0,8820630764299563
4,0;3,99987;0,005121685;1,8074599999999998;-0,01;0,881948105472923
4,0;3,99988;0,01018405;1,80314;-0,0200007;0,8853130405397891
4,0;3,999855;0,01531305;1,80295;-0,0300015;0,8831407128405921
4,0;3,99985;0,0203358;1,799275;-0,0400026;0,8848608842979644
4,0;3,99983;0,025439749999999997;1,799115;-0,0500027;0,8840701164483671
4,0;3,99981;0,03045745;1,7980800000000001;-0,0600022;0,885629403707176
4,0;3,99981;0,0355272;1,79677;-0,0700009;0,8851104072089064
4,0;3,99982;0,0405195;1,79452;-0,07999945;0,8858177887418842
4,5;4,499775;9,20824e-07;1,80983;-5,00067e-07;0,218513637841329
4,5;4,498735;1,16074e-06;1,8090350000000002;-6,00063e-07;0,2075984166686622
4,5;4,499734999999999;1,288405e-06;1,8108749999999998;-7,000515e-07;0,21853720326129375
