V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,0002;1,99986;0,000196383;1,80732;-0,000200034;0,9205245806231199
2,0;0,0003;1,99982;0,000294015;1,80774;-0,000300043;0,9224844875087785
2,0;0,0003;1,99984;0,00029407;1,80734;-0,000300044;0,9221017256991807
2,0;0,0003;1,99983;0,000294114;1,80774;-0,000300046;0,9221785844901531
2,0;0,0003;1,99983;0,000293838;1,80726;-0,000300047;0,9228027645984973
2,0;0,0003;1,99983;0,000294113;1,80709;-0,000300046;0,9218501356936333
2,0;0,0003;1,99982;0,000293957;1,80682;-0,000300047;0,9222092290955894
2,0;0,0003;1,99983;0,000294035;1,80731;-0,000300048;0,9222130844578521
2,0;0,0003;1,99983;0,000294131;1,80761;-0,000300047;0,9220620452542295
2,0;0,0003;1,99983;0,000293899;1,80755;-0,000300046;0,9227562033408057
2,0;0,0003;1,99984;0,000294016;1,80792;-0,000300045;0,9225701262184997
2,0;0,0004;1,99984;0,000391595;1,8073;-0,00040004;0,9232116549124487
2,0;0,0004;1,99983;0,000391656;1,80731;-0,000400043;0,923084511280115
2,0;0,0004;1,99984;0,000391594;1,80724;-0,000400042;0,9231879784415961
2,0;0,0004;1,99984;0,000391608;1,80705;-0,000400042;0,9230579206739798
2,0;0,0004;1,99984;0,000391558;1,8073;-0,00040004;0,9232988931536078
2,0;0,0004;1,99983;0,00039163;1,80703;-0,000400039;0,9229935454428596
2,0;0,0004;1,99982;0,000391671;1,80734;-0,000400038;0,9230575600414224
2,0;0,0004;1,99983;0,000391574;1,80751;-0,000400041;0,9233753706500633
2,0;0,0004;1,99982;0,0003915;1,80709;-0,000400038;0,9233329970578579
2,0;0,0004;1,99982;0,000391637;1,80749;-0,000400041;0,9232212345322751
2,0;0,0005;1,99981;0,000489171;1,80711;-0,000500047;0,9237319752396108
2,0;0,0005;1,99981;0,000489217;1,807;-0,000500046;0,9235870488476507
2,0;0,0005;1,99982;0,000489155;1,80703;-0,000500043;0,9237092873965981
2,0;0,0005;1,9998;0,000489302;1,80712;-0,000500043;0,9234870069690057
2,0;0,0005;1,99981;0,000489258;1,80702;-0,000500044;0,9235161796424523
2,0;0,0005;1,99981;0,000489153;1,80711;-0,000500044;0,9237604249332991
2,0;0,0005;1,99982;0,00048915;1,80703;-0,000500047;0,9237261184948943
2,0;0,0005;1,99982;0,000489203;1,80713;-0,000500044;0,9236716138764625
2,0;0,0005;1,99982;0,000489223;1,8069;-0,000500044;0,9235162988806452
2,0;0,0005;1,99982;0,000489071;1,80699;-0,000500045;0,9238511828936252
2,0;0,0006;1,99982;0,000586878;1,8069;-0,000600037;0,9237903301025452
2,0;0,0006;1,99982;0,000586779;1,80747;-0,000600038;0,9242391958532928
2,0;0,0006;1,99981;0,00058685;1,80657;-0,000600039;0,9236733809299512
2,0;0,0006;1,99982;0,000586728;1,80708;-0,000600037;0,9241185515957286
2,0;0,0006;1,99982;0,000586797;1,80677;-0,000600039;0,9238544545507441
