Time [s],Sheep1,Sheep2
64.703724250,1,0
64.703724492,1,1
64.703744928,1,0
64.814622040,0,0
64.814828068,1,0
64.814828312,1,1
64.814848772,1,0
64.925728826,0,0
64.925931824,1,0
64.925932070,1,1
64.925952526,1,0
65.036823876,0,0
65.037035954,1,0
65.037036570,1,1
65.037067082,1,0
65.147923526,0,0
65.148148172,1,0
65.148148872,1,1
65.148229486,1,0
65.259034052,0,0
65.259243418,1,0
65.259244120,1,1
65.259274596,1,0
65.370146948,0,0
65.370347270,1,0
65.370347958,1,1
65.370358382,1,0
65.481249516,0,0
65.481450846,1,0
65.481451090,1,1
65.481461544,1,0
65.592351646,0,0
65.592554712,1,0
65.592554952,1,1
65.592565386,1,0
65.703449736,0,0
65.703658302,1,0
65.703658538,1,1
65.703679006,1,0
65.814561612,0,0
65.814762308,1,0
65.814762548,1,1
65.814783018,1,0
65.925660760,0,0
65.925866116,1,0
65.925866362,1,1
65.925886798,1,0
66.036768298,0,0
66.036969736,1,0
66.036969976,1,1
66.036980386,1,0
66.147863116,0,0
66.148073682,1,0
66.148073928,1,1
66.148094366,1,0
66.258971466,0,0
66.259177550,1,0
66.259178170,1,1
66.259188604,1,0
66.370075670,0,0
66.370281250,1,0
66.370281490,1,1
66.370291938,1,0
66.481175540,0,0
66.481385306,1,0
66.481385734,1,1
66.481416204,1,0
66.592274046,0,0
66.592488622,1,0
66.592489064,1,1
66.592509504,1,0
66.703386694,0,0
66.703592402,1,0
66.703593084,1,1
66.703603492,1,0
66.814487892,0,0
66.814696208,1,0
66.814696454,1,1
66.814716938,1,0
66.925600050,0,0
66.925800126,1,0
66.925800366,1,1
66.925820804,1,0
67.036686608,0,0
67.036904296,1,0
67.036904940,1,1
67.036935444,1,0
67.147802626,0,0
67.148007970,1,0
67.148008630,1,1
67.148019054,1,0
67.258910764,0,0
67.259111638,1,0
67.259112070,1,1
67.259122478,1,0
67.370010498,0,0
67.370215588,1,0
67.370216418,1,1
67.370226832,1,0
67.481116916,0,0
67.481319194,1,0
67.481319872,1,1
67.481350392,1,0
67.592221746,0,0
67.592423000,1,0
67.592423692,1,1
67.592434100,1,0
67.703323082,0,0
67.703526740,1,0
67.703527180,1,1
67.703557662,1,0
67.814418628,0,0
67.814630266,1,0
67.814630926,1,1
67.814651390,1,0
67.925535116,0,0
67.925734202,1,0
67.925734448,1,1
67.925744862,1,0
68.036627234,0,0
68.036838064,1,0
68.036838518,1,1
68.036858992,1,0
68.147743254,0,0
68.147941798,1,0
68.147942248,1,1
68.147952656,1,0
68.258844610,0,0
68.259045454,1,0
68.259045900,1,1
68.259056328,1,0
68.369947716,0,0
68.370149414,1,0
68.370149654,1,1
68.370160088,1,0
68.481042234,0,0
68.481253380,1,0
68.481253988,1,1
68.481284498,1,0
68.592157112,0,0
68.592356826,1,0
68.592357072,1,1
68.592367516,1,0
68.703259968,0,0
68.703460576,1,0
68.703460822,1,1
68.703471276,1,0
68.814351544,0,0
68.814564612,1,0
68.814565300,1,1
68.814595772,1,0
68.925467234,0,0
68.925668388,1,0
68.925669070,1,1
68.925689506,1,0
69.036571170,0,0
69.036772148,1,0
69.036772574,1,1
69.036782982,1,0
69.147665036,0,0
69.147875814,1,0
69.147876058,1,1
69.147896512,1,0
69.258774026,0,0
69.258979610,1,0
69.258979850,1,1
69.259000288,1,0
69.369880032,0,0
69.370083580,1,0
69.370083824,1,1
69.370104302,1,0
69.480976288,0,0
69.481187066,1,0
69.481187670,1,1
69.481218174,1,0
69.592082924,0,0
69.592291282,1,0
69.592291948,1,1
69.592322438,1,0
69.703193572,0,0
69.703394662,1,0
69.703395106,1,1
69.703425602,1,0
69.814301418,0,0
69.814498506,1,0
69.814498960,1,1
69.814559532,1,0
69.925400266,0,0
69.925602502,1,0
69.925603108,1,1
69.925633624,1,0
70.036509174,0,0
70.036706522,1,0
70.036707142,1,1
70.036717580,1,0
70.147609320,0,0
70.147809968,1,0
70.147810212,1,1
70.147820656,1,0
70.258707108,0,0
70.258913652,1,0
70.258913898,1,1
70.258934356,1,0
70.369818782,0,0
70.370017612,1,0
70.370017854,1,1
70.370028262,1,0
70.480916182,0,0
70.481121508,1,0
70.481122136,1,1
70.481152606,1,0
70.592030020,0,0
70.592225414,1,0
70.592226036,1,1
70.592236474,1,0
70.703125866,0,0
70.703329024,1,0
70.703329972,1,1
70.703350432,1,0
70.814227582,0,0
70.814432748,1,0
70.814433398,1,1
70.814443816,1,0
70.925323168,0,0
70.925536604,1,0
70.925536850,1,1
